"GOV","obsTime","TOTALTAX","TAX","propValue"
"FED",1973,163846,"Corporate Income Tax",85.1262771138752
"FED",1974,182902,"Corporate Income Tax",86.1893254311052
"FED",1975,188458,"Corporate Income Tax",86.5296246378503
"FED",1976,201357,"Corporate Income Tax",85.953306813272
"FED",1977,241886,"Corporate Income Tax",87.5197407042987
"FED",1978,271436,"Corporate Income Tax",88.7988328740477
"FED",1979,315365,"Corporate Income Tax",89.9234220664944
"FED",1980,346840,"Corporate Income Tax",89.0142428785607
"FED",1981,402489,"Corporate Income Tax",86.1583794836629
"FED",1982,400550,"Corporate Income Tax",86.7349893895893
"FED",1983,376054,"Corporate Income Tax",86.7104192482994
"FED",1984,410223,"Corporate Income Tax",86.6665204047555
"FED",1985,450563,"Corporate Income Tax",87.9117903600606
"FED",1986,465419,"Corporate Income Tax",88.5894215749679
"FED",1987,531588,"Corporate Income Tax",89.6775322242037
"FED",1988,554841,"Corporate Income Tax",89.3327998471634
"FED",1989,608276,"Corporate Income Tax",90.3075248735771
"FED",1990,632160,"Corporate Income Tax",90.1118387749937
"FED",1991,628116,"Corporate Income Tax",88.4153563991365
"FED",1992,656705,"Corporate Income Tax",88.6439116498275
"FED",1993,712171,"Corporate Income Tax",88.8705100320007
"FED",1994,778571,"Corporate Income Tax",87.914525457537
"FED",1995,840645,"Corporate Income Tax",89.2343379190978
"FED",1996,934446,"Corporate Income Tax",90.3320256066161
"FED",1997,1035654,"Corporate Income Tax",90.498757306977
"FED",1998,1120417,"Corporate Income Tax",90.5519998357754
"FED",1999,1203307,"Corporate Income Tax",90.675530018524
"FED",2000,1316632,"Corporate Income Tax",91.2387819831206
"FED",2001,1254773,"Corporate Income Tax",90.9757382411002
"FED",2002,1078486,"Corporate Income Tax",89.603388453814
"FED",2003,1075839,"Corporate Income Tax",89.5725103849182
"FED",2004,1165211,"Corporate Income Tax",89.7119062556052
"FED",2005,1392812,"Corporate Income Tax",91.0683566769959
"FED",2006,1562608,"Corporate Income Tax",91.8673781268239
"FED",2007,1634127,"Corporate Income Tax",92.589560052554
"FED",2008,1517778,"Corporate Income Tax",91.9454623798737
"FED",2009,1144276,"Corporate Income Tax",90.2125885712887
"FED",2010,1288676,"Corporate Income Tax",91.3198507615568
"FED",2011,1488047,"Corporate Income Tax",92.052199964114
"FED",2012,1587024,"Corporate Income Tax",91.8565188680196
"FED",2013,1765757,"Corporate Income Tax",91.7118267122826
"FED",2014,1918871,"Corporate Income Tax",91.9159234779201
"FED",2015,2041407,"Corporate Income Tax",92.1346894568305
"FED",2016,2054530,"Corporate Income Tax",92.3239865078631
"FED",2017,2328070,"Corporate Income Tax",82.6201102200535
"FED",2018,1980351,"Corporate Income Tax",90.7285627648836
"LOCAL",1973,52858,"Corporate Income Tax",4.55181807862575
"LOCAL",1974,0,"Corporate Income Tax",NA
"LOCAL",1975,61064,"Corporate Income Tax",4.31514476614699
"LOCAL",1976,0,"Corporate Income Tax",NA
"LOCAL",1977,74832,"Corporate Income Tax",5.01389779773359
"LOCAL",1978,0,"Corporate Income Tax",NA
"LOCAL",1979,80650,"Corporate Income Tax",5.34283942963422
"LOCAL",1980,86436,"Corporate Income Tax",5.77305752232866
"LOCAL",1981,94829,"Corporate Income Tax",5.83260395026838
"LOCAL",1982,103703,"Corporate Income Tax",5.88700423324301
"LOCAL",1983,113202,"Corporate Income Tax",5.69424568470522
